line_name,trial,season,Fruit_weight,Fruit_set
SL5,2011_Win_Mie,Win,193,-2.876385516
SL6,2011_Win_Mie,Win,189,-2.90989323
SL7,2011_Win_Mie,Win,156,-2.843851742
SL8,2011_Win_Mie,Win,203,-2.63905733
SL9,2011_Win_Mie,Win,216,-2.629696887
SL10,2011_Win_Mie,Win,218,-2.78147767
SL11,2011_Win_Mie,Win,242,-2.78147767
SL12,2011_Win_Mie,Win,212,-2.910632943
SL14,2011_Win_Mie,Win,225,-2.76000994
SL15,2011_Win_Mie,Win,189,-2.944438979
SL16,2011_Win_Mie,Win,197,-2.800220661
SL17,2011_Win_Mie,Win,207,-2.843851742
SL18,2011_Win_Mie,Win,200,-2.90989323
SL19,2011_Win_Mie,Win,235,-2.751535313
SL21,2011_Win_Mie,Win,231,-2.685192063
SL22,2011_Win_Mie,Win,203,-2.98009338
SL23,2011_Win_Mie,Win,151,-2.804802342
SL24,2011_Win_Mie,Win,153,-2.90989323
SL25,2011_Win_Mie,Win,259,-2.876385516
SL26,2011_Win_Mie,Win,316,-2.480930501
SL30,2011_Win_Mie,Win,187,-2.677278542
SL31,2011_Win_Mie,Win,208,-2.778819272
SL32,2011_Win_Mie,Win,192,-2.60141173
SL34,2011_Win_Mie,Win,183,-2.90989323
SL35,2011_Win_Mie,Win,190,-2.876385516
SL36,2011_Win_Mie,Win,241,-2.63905733
SL38,2011_Win_Mie,Win,173,-2.87423472
SL39,2011_Win_Mie,Win,182,-2.629696887
SL40,2011_Win_Mie,Win,246,-2.910632943
SL41,2011_Win_Mie,Win,184,-2.803360381
SL42,2011_Win_Mie,Win,185,-2.98009338
SL43,2011_Win_Mie,Win,254,-2.838982591
SL44,2011_Win_Mie,Win,212,-2.7293276
SL45,2011_Win_Mie,Win,242,-2.944438979
SL46,2011_Win_Mie,Win,168,-2.804802342
SL47,2011_Win_Mie,Win,182,-2.751535313
SL48,2011_Win_Mie,Win,197,-2.78147767
SL49,2011_Win_Mie,Win,175,-2.800220661
SL50,2011_Win_Mie,Win,216,-2.739394589
SL52,2011_Win_Mie,Win,211,-2.718254371
SL53,2011_Win_Mie,Win,177,-2.685192063
SL54,2011_Win_Mie,Win,172,-2.632029894
SL55,2011_Win_Mie,Win,201,-2.840109923
SL56,2011_Win_Mie,Win,243,-2.76000994
SL57,2011_Win_Mie,Win,178,-2.751535313
SL58,2011_Win_Mie,Win,182,-2.90989323
SL59,2011_Win_Mie,Win,190,-2.719333819
SL60,2011_Win_Mie,Win,198,-2.87423472
SL61,2011_Win_Mie,Win,208,-2.677972746
SL62,2011_Win_Mie,Win,207,-2.649540827
SL63,2011_Win_Mie,Win,225,-2.76000994
SL64,2011_Win_Mie,Win,163,-2.632029894
SL65,2011_Win_Mie,Win,180,-2.751535313
SL66,2011_Win_Mie,Win,223,-3.055048851
SL67,2011_Win_Mie,Win,185,-2.78147767
SL68,2011_Win_Mie,Win,171,-2.87423472
SL69,2011_Win_Mie,Win,184,-2.751535313
SL70,2011_Win_Mie,Win,206,-2.726918685
SL71,2011_Win_Mie,Win,196,-2.812233554
SL72,2011_Win_Mie,Win,130,-2.677972746
SL73,2011_Win_Mie,Win,237,-2.764220473
SL74,2011_Win_Mie,Win,220,-2.98009338
SL75,2011_Win_Mie,Win,197,-2.98009338
SL76,2011_Win_Mie,Win,176,-2.721987709
SL77,2011_Win_Mie,Win,184,-2.76000994
SL79,2011_Win_Mie,Win,167,-2.956991445
SL80,2011_Win_Mie,Win,187,-2.90989323
SL81,2011_Win_Mie,Win,226,-2.864289291
SL82,2011_Win_Mie,Win,220,-2.882403588
SL83,2011_Win_Mie,Win,130,-2.98009338
SL84,2011_Win_Mie,Win,170,-2.90989323
SL85,2011_Win_Mie,Win,189,-2.771626721
SL86,2011_Win_Mie,Win,201,-2.649540827
SL87,2011_Win_Mie,Win,145,-2.1690537
SL88,2011_Win_Mie,Win,223,-2.550864618
SL89,2011_Win_Mie,Win,192,-2.812233554
SL90,2011_Win_Mie,Win,175,-2.837406222
SL91,2011_Win_Mie,Win,199,-2.876385516
SL92,2011_Win_Mie,Win,201,-2.7293276
SL93,2011_Win_Mie,Win,208,-2.98009338
SL94,2011_Win_Mie,Win,190,-2.876385516
SL95,2011_Win_Mie,Win,235,-2.677972746
SL96,2011_Win_Mie,Win,245,-2.268683541
SL1,2012_Win_Mie,Win,141,-2.751535313
SL2,2012_Win_Mie,Win,187,-2.800220661
SL3,2012_Win_Mie,Win,247,-2.972122408
SL4,2012_Win_Mie,Win,153,-2.843851742
SL5,2012_Win_Mie,Win,159,-2.751535313
SL6,2012_Win_Mie,Win,160,-2.882403588
SL7,2012_Win_Mie,Win,160,-2.876385516
SL8,2012_Win_Mie,Win,162,-2.614959778
SL10,2012_Win_Mie,Win,222,-2.550864618
SL11,2012_Win_Mie,Win,213,-2.78147767
SL12,2012_Win_Mie,Win,156,-2.843851742
SL13,2012_Win_Mie,Win,145,-3.055048851
SL14,2012_Win_Mie,Win,183,-2.843851742
SL15,2012_Win_Mie,Win,180,-2.90989323
SL16,2012_Win_Mie,Win,164,-2.90989323
SL17,2012_Win_Mie,Win,180,-2.812233554
SL18,2012_Win_Mie,Win,189,-2.87423472
SL19,2012_Win_Mie,Win,258,-2.63905733
SL20,2012_Win_Mie,Win,205,-2.708050201
SL21,2012_Win_Mie,Win,142,-2.751535313
SL22,2012_Win_Mie,Win,250,-3.17805383
SL23,2012_Win_Mie,Win,203,-2.926359391
SL24,2012_Win_Mie,Win,159,-2.87423472
SL25,2012_Win_Mie,Win,275,-2.90989323
SL26,2012_Win_Mie,Win,263,-2.948259423
SL27,2012_Win_Mie,Win,152,-2.739394589
SL28,2012_Win_Mie,Win,262,-2.677972746
SL29,2012_Win_Mie,Win,252,-2.677972746
SL30,2012_Win_Mie,Win,199,-2.910632943
SL31,2012_Win_Mie,Win,186,-2.804802342
SL32,2012_Win_Mie,Win,222,-2.63905733
SL33,2012_Win_Mie,Win,172,-2.662587827
SL34,2012_Win_Mie,Win,182,-2.63905733
SL35,2012_Win_Mie,Win,200,-2.425483229
SL36,2012_Win_Mie,Win,172,-2.771626721
SL37,2012_Win_Mie,Win,266,-2.7293276
SL38,2012_Win_Mie,Win,198,-2.685192063
SL39,2012_Win_Mie,Win,138,-2.90989323
SL40,2012_Win_Mie,Win,203,-2.843851742
SL41,2012_Win_Mie,Win,221,-2.76000994
SL42,2012_Win_Mie,Win,138,-2.843851742
SL44,2012_Win_Mie,Win,208,-2.812233554
SL45,2012_Win_Mie,Win,181,-2.764220473
SL46,2012_Win_Mie,Win,170,-2.708050201
SL47,2012_Win_Mie,Win,165,-2.876385516
SL48,2012_Win_Mie,Win,178,-2.876385516
SL49,2012_Win_Mie,Win,184,-2.771626721
SL50,2012_Win_Mie,Win,198,-2.90989323
SL51,2012_Win_Mie,Win,201,-2.695471419
SL52,2012_Win_Mie,Win,173,-2.44145933
SL53,2012_Win_Mie,Win,202,-2.800220661
SL54,2012_Win_Mie,Win,234,-2.480930501
SL55,2012_Win_Mie,Win,212,-2.76000994
SL56,2012_Win_Mie,Win,173,-2.497645676
SL57,2012_Win_Mie,Win,168,-2.739394589
SL58,2012_Win_Mie,Win,NA,-2.944438979
SL59,2012_Win_Mie,Win,189,-2.944438979
SL60,2012_Win_Mie,Win,172,-2.1690537
SL61,2012_Win_Mie,Win,253,-2.63905733
SL62,2012_Win_Mie,Win,185,-2.838982591
SL63,2012_Win_Mie,Win,263,-2.90989323
SL64,2012_Win_Mie,Win,156,-2.751535313
SL65,2012_Win_Mie,Win,196,-2.685192063
SL66,2012_Win_Mie,Win,235,-2.721987709
SL67,2012_Win_Mie,Win,215,-2.63905733
SL68,2012_Win_Mie,Win,149,-2.876385516
SL69,2012_Win_Mie,Win,220,-2.63905733
SL70,2012_Win_Mie,Win,167,-2.69391569
SL71,2012_Win_Mie,Win,220,-2.876385516
SL72,2012_Win_Mie,Win,156,-2.804802342
SL73,2012_Win_Mie,Win,169,-2.843851742
SL74,2012_Win_Mie,Win,193,-2.614959778
SL75,2012_Win_Mie,Win,168,-2.910632943
SL76,2012_Win_Mie,Win,178,-2.685192063
SL77,2012_Win_Mie,Win,180,-2.197224577
SL79,2012_Win_Mie,Win,183,-2.843851742
SL80,2012_Win_Mie,Win,178,-2.695471419
SL81,2012_Win_Mie,Win,181,-2.721987709
SL82,2012_Win_Mie,Win,141,-2.751535313
SL83,2012_Win_Mie,Win,175,-2.804802342
SL84,2012_Win_Mie,Win,169,-2.771626721
SL85,2012_Win_Mie,Win,195,-2.632029894
SL87,2012_Win_Mie,Win,176,-2.550864618
SL88,2012_Win_Mie,Win,190,-2.944438979
SL89,2012_Win_Mie,Win,178,-2.614959778
SL90,2012_Win_Mie,Win,176,-2.614959778
SL91,2012_Win_Mie,Win,169,-2.812233554
SL92,2012_Win_Mie,Win,215,-2.512305624
SL93,2012_Win_Mie,Win,174,-2.677972746
SL94,2012_Win_Mie,Win,176,-2.764220473
SL95,2012_Win_Mie,Win,202,-2.751535313
SL96,2012_Win_Mie,Win,234,-2.564949357
SL1,2013_Win_Mie,Win,201,-2.944438979
SL2,2013_Win_Mie,Win,173,-2.98009338
SL3,2013_Win_Mie,Win,198,-2.540025949
SL4,2013_Win_Mie,Win,172,-2.335374916
SL5,2013_Win_Mie,Win,168,-2.843851742
SL6,2013_Win_Mie,Win,197,-2.948259423
SL7,2013_Win_Mie,Win,137,-2.800220661
SL8,2013_Win_Mie,Win,244,-3.027572879
SL9,2013_Win_Mie,Win,217,-2.875863731
SL10,2013_Win_Mie,Win,193,-2.876385516
SL11,2013_Win_Mie,Win,198,-2.944438979
SL12,2013_Win_Mie,Win,140,-2.718254371
SL13,2013_Win_Mie,Win,143,-2.632029894
SL14,2013_Win_Mie,Win,144,-2.956991445
SL15,2013_Win_Mie,Win,216,-2.972122408
SL16,2013_Win_Mie,Win,167,-2.677972746
SL17,2013_Win_Mie,Win,207,-3.094532858
SL18,2013_Win_Mie,Win,198,-2.726918685
SL20,2013_Win_Mie,Win,269,-3.069753134
SL21,2013_Win_Mie,Win,180,-2.98009338
SL22,2013_Win_Mie,Win,253,-2.944438979
SL23,2013_Win_Mie,Win,164,-3.222348051
SL24,2013_Win_Mie,Win,141,-2.882403588
SL25,2013_Win_Mie,Win,253,-3.135494216
SL26,2013_Win_Mie,Win,211,-2.840109923
SL27,2013_Win_Mie,Win,154,-2.76000994
SL28,2013_Win_Mie,Win,221,-2.944438979
SL29,2013_Win_Mie,Win,257,-2.987205457
SL30,2013_Win_Mie,Win,179,-2.583997552
SL31,2013_Win_Mie,Win,154,-2.804802342
SL32,2013_Win_Mie,Win,245,-2.632029894
SL33,2013_Win_Mie,Win,163,-2.674852132
SL34,2013_Win_Mie,Win,156,-2.956991445
SL35,2013_Win_Mie,Win,168,-2.90989323
SL36,2013_Win_Mie,Win,170,-2.999890284
SL37,2013_Win_Mie,Win,185,-2.838982591
SL38,2013_Win_Mie,Win,201,-2.726918685
SL39,2013_Win_Mie,Win,150,-3.091042453
SL40,2013_Win_Mie,Win,188,-2.987205457
SL41,2013_Win_Mie,Win,180,-2.497645676
SL42,2013_Win_Mie,Win,144,-2.875863731
SL43,2013_Win_Mie,Win,198,-3.030823593
SL44,2013_Win_Mie,Win,174,-3.016934481
SL45,2013_Win_Mie,Win,199,-2.677278542
SL46,2013_Win_Mie,Win,141,-2.76000994
SL47,2013_Win_Mie,Win,161,-3.17805383
